station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed
20,2012-01-31,74.0,58.0,66.0,26.0,56.0,60.0,0.0,1.0,708.0,1703.0,0.0,0.0,29.31,30.03,7.8,18.0,8.6
1,2012-02-01,56.0,31.0,44.0,26.0,33.0,37.0,21.0,0.0,708.0,1703.0,0.0,0.01,29.72,29.88,4.5,26.0,5.1
2,2012-02-01,55.0,33.0,44.0,20.0,33.0,39.0,21.0,0.0,701.0,1701.0,0.0,0.01,28.77,29.87,11.1,26.0,11.9
3,2012-02-01,67.0,37.0,52.0,14.0,32.0,43.0,13.0,0.0,725.0,1750.0,0.0,0.0,29.39,30.11,5.1,36.0,5.8
4,2012-02-01,82.0,59.0,71.0,18.0,61.0,64.0,0.0,6.0,722.0,1807.0,0.0,0.0,29.38,30.06,0.3,29.0,1.4
6,2012-02-01,77.0,57.0,67.0,17.0,62.0,63.0,0.0,2.0,721.0,1807.0,0.0,0.02,29.54,30.06,1.7,18.0,1.9
7,2012-02-01,65.0,34.0,50.0,17.0,33.0,42.0,15.0,0.0,721.0,1807.0,0.0,0.0,28.74,30.12,4.4,1.0,4.6
8,2012-02-01,77.0,63.0,50.0,17.0,58.0,62.0,15.0,0.0,721.0,1807.0,0.0,0.01,29.71,30.12,0.7,23.0,1.4
9,2012-02-01,34.0,31.0,33.0,17.0,31.0,32.0,32.0,0.0,721.0,1807.0,0.0,0.0,29.34,30.11,3.5,20.0,5.8
10,2012-02-01,77.0,60.0,69.0,17.0,56.0,61.0,0.0,4.0,717.0,1803.0,0.0,0.0,30.21,30.22,4.3,16.0,5.1
11,2012-02-01,77.0,48.0,63.0,9.0,52.0,57.0,2.0,0.0,718.0,1803.0,0.0,0.0,30.21,30.23,3.5,15.0,3.9
12,2012-02-01,76.0,52.0,64.0,9.0,55.0,59.0,1.0,0.0,718.0,1803.0,0.0,0.0,30.2,30.23,3.0,14.0,3.5
13,2012-02-01,52.0,25.0,39.0,9.0,11.0,28.0,26.0,0.0,718.0,1803.0,0.0,0.0,24.27,30.12,5.9,17.0,7.5
14,2012-02-01,65.0,37.0,51.0,12.0,32.0,42.0,14.0,0.0,730.0,1758.0,0.0,0.0,28.72,30.11,6.9,1.0,7.3
15,2012-02-01,45.0,27.0,36.0,16.0,30.0,32.0,29.0,0.0,702.0,1658.0,0.0,0.01,29.48,29.87,1.6,29.0,1.9
16,2012-02-01,56.0,30.0,43.0,16.0,34.0,38.0,22.0,0.0,702.0,1658.0,0.0,0.08,29.75,29.85,4.1,28.0,4.7
17,2012-02-01,68.0,39.0,54.0,16.0,31.0,43.0,11.0,0.0,702.0,1658.0,0.0,0.0,29.44,30.13,4.8,2.0,4.9
18,2012-02-01,73.0,52.0,63.0,15.0,55.0,58.0,2.0,0.0,722.0,1760.0,0.0,0.01,29.55,30.06,1.3,29.0,4.2
19,2012-02-01,41.0,33.0,37.0,15.0,30.0,34.0,28.0,0.0,707.0,1704.0,0.0,0.0,29.35,30.1,4.4,31.0,5.6
20,2012-02-01,74.0,52.0,63.0,15.0,55.0,58.0,2.0,0.0,707.0,1704.0,0.0,0.0,29.35,30.05,1.7,25.0,5.3
1,2012-02-02,43.0,30.0,37.0,15.0,26.0,32.0,28.0,0.0,707.0,1704.0,0.0,0.0,29.88,30.07,4.4,4.0,7.1
2,2012-02-02,38.0,28.0,33.0,9.0,26.0,31.0,32.0,0.0,660.0,1703.0,0.0,0.0,28.9,30.04,3.3,34.0,6.1
3,2012-02-02,67.0,30.0,49.0,10.0,38.0,45.0,16.0,0.0,724.0,1751.0,0.0,0.0,29.38,30.12,5.6,12.0,7.5
4,2012-02-02,72.0,54.0,63.0,10.0,59.0,61.0,2.0,0.0,721.0,1808.0,0.0,0.03,29.31,30.02,3.0,14.0,3.4
6,2012-02-02,75.0,51.0,63.0,13.0,60.0,61.0,2.0,0.0,721.0,1807.0,0.0,0.01,29.47,30.01,3.1,14.0,4.1
7,2012-02-02,64.0,35.0,50.0,13.0,42.0,48.0,15.0,0.0,721.0,1807.0,0.0,0.0,28.66,30.07,9.7,13.0,10.7
8,2012-02-02,77.0,59.0,50.0,13.0,59.0,63.0,15.0,0.0,721.0,1807.0,0.0,0.02,29.67,30.07,4.4,14.0,4.2
9,2012-02-02,36.0,32.0,34.0,13.0,31.0,32.0,31.0,0.0,721.0,1807.0,0.0,0.0,29.54,30.3,1.4,11.0,2.1
10,2012-02-02,78.0,63.0,71.0,13.0,58.0,62.0,0.0,6.0,717.0,1804.0,0.0,0.01,30.13,30.16,1.5,31.0,4.3
11,2012-02-02,78.0,54.0,66.0,12.0,56.0,60.0,0.0,1.0,717.0,1804.0,0.0,0.0,30.12,30.16,3.4,29.0,4.1
12,2012-02-02,79.0,54.0,67.0,12.0,58.0,61.0,0.0,2.0,717.0,1804.0,0.0,0.01,30.11,30.16,1.0,31.0,3.5
13,2012-02-02,42.0,29.0,36.0,12.0,17.0,28.0,29.0,0.0,717.0,1804.0,0.0,0.04,24.16,30.0,5.8,34.0,9.5
14,2012-02-02,65.0,38.0,52.0,13.0,42.0,48.0,13.0,0.0,729.0,1759.0,0.0,0.04,28.65,30.06,11.1,13.0,12.2
15,2012-02-02,40.0,27.0,34.0,13.0,23.0,30.0,31.0,0.0,701.0,1659.0,0.0,0.0,29.65,30.06,7.2,33.0,7.8
16,2012-02-02,42.0,30.0,36.0,13.0,27.0,32.0,29.0,0.0,701.0,1659.0,0.0,0.0,29.91,30.04,4.3,1.0,6.6
17,2012-02-02,66.0,30.0,48.0,13.0,38.0,45.0,17.0,0.0,701.0,1659.0,0.0,0.0,29.43,30.14,6.3,13.0,6.8
18,2012-02-02,73.0,48.0,61.0,13.0,55.0,58.0,4.0,0.0,722.0,1801.0,0.0,0.0,29.52,30.05,8.6,12.0,9.1
19,2012-02-02,36.0,30.0,33.0,11.0,30.0,32.0,32.0,0.0,706.0,1705.0,0.0,0.0,29.55,30.29,3.1,25.0,4.6
20,2012-02-02,73.0,48.0,61.0,11.0,56.0,58.0,4.0,0.0,706.0,1705.0,0.0,0.0,29.31,30.04,7.0,11.0,8.1
1,2012-02-03,38.0,23.0,31.0,11.0,13.0,26.0,34.0,0.0,706.0,1705.0,0.0,0.0,30.14,30.32,6.5,31.0,7.7
2,2012-02-03,36.0,19.0,28.0,4.0,12.0,23.0,37.0,0.0,659.0,1704.0,0.0,0.0,29.15,30.31,9.0,31.0,10.3
3,2012-02-03,59.0,50.0,55.0,16.0,48.0,51.0,10.0,0.0,723.0,1752.0,0.0,0.84,29.22,29.95,6.7,13.0,11.0
4,2012-02-03,75.0,66.0,71.0,18.0,64.0,66.0,0.0,6.0,721.0,1808.0,0.0,0.04,29.24,29.93,3.1,17.0,5.4
6,2012-02-03,76.0,67.0,72.0,22.0,66.0,67.0,0.0,7.0,720.0,1808.0,0.0,0.02,29.4,29.93,8.3,17.0,8.8
7,2012-02-03,63.0,43.0,53.0,22.0,52.0,53.0,12.0,0.0,720.0,1808.0,0.0,0.91,28.56,29.92,3.7,15.0,15.1
8,2012-02-03,79.0,66.0,53.0,22.0,62.0,65.0,12.0,0.0,720.0,1808.0,0.0,0.02,29.59,29.92,8.3,16.0,8.5
9,2012-02-03,34.0,25.0,30.0,22.0,28.0,30.0,35.0,0.0,720.0,1808.0,0.0,0.0,29.7,30.49,4.1,6.0,4.9
10,2012-02-03,74.0,60.0,67.0,22.0,57.0,61.0,0.0,2.0,716.0,1805.0,0.0,0.0,30.22,30.25,6.9,4.0,7.3
11,2012-02-03,73.0,50.0,62.0,8.0,54.0,57.0,3.0,0.0,717.0,1805.0,0.0,0.0,30.23,30.27,8.0,5.0,8.3
12,2012-02-03,72.0,51.0,62.0,8.0,57.0,60.0,3.0,0.0,717.0,1805.0,0.0,0.0,30.22,30.26,7.6,5.0,7.7
13,2012-02-03,30.0,24.0,27.0,8.0,24.0,25.0,38.0,0.0,717.0,1805.0,0.0,1.33,24.39,30.33,15.8,35.0,15.9
14,2012-02-03,65.0,44.0,55.0,16.0,53.0,54.0,10.0,0.0,728.0,1800.0,0.0,0.21,28.55,29.91,4.0,16.0,16.5
15,2012-02-03,35.0,18.0,27.0,6.0,13.0,23.0,38.0,0.0,659.0,1700.0,0.0,0.0,29.91,30.31,7.4,31.0,7.8
16,2012-02-03,38.0,23.0,31.0,6.0,13.0,25.0,34.0,0.0,659.0,1700.0,0.0,0.0,30.16,30.28,6.5,32.0,7.3
17,2012-02-03,59.0,51.0,55.0,6.0,47.0,51.0,10.0,0.0,659.0,1700.0,0.0,0.67,29.28,29.97,6.0,13.0,9.4
18,2012-02-03,74.0,55.0,65.0,16.0,61.0,63.0,0.0,0.0,721.0,1801.0,0.0,0.67,29.44,29.94,8.1,17.0,13.0
19,2012-02-03,37.0,31.0,34.0,12.0,29.0,33.0,31.0,0.0,704.0,1707.0,0.0,0.0,29.68,30.45,3.5,5.0,4.4
20,2012-02-03,74.0,55.0,65.0,12.0,61.0,63.0,0.0,0.0,704.0,1707.0,0.0,0.06,29.23,29.94,5.8,17.0,11.2
1,2012-02-04,39.0,26.0,33.0,12.0,16.0,28.0,32.0,0.0,704.0,1707.0,0.0,0.06,30.03,30.19,5.5,31.0,8.1
2,2012-02-04,39.0,25.0,32.0,8.0,17.0,27.0,33.0,0.0,658.0,1705.0,0.0,0.0,29.05,30.17,7.8,29.0,9.2
3,2012-02-04,51.0,38.0,45.0,6.0,38.0,42.0,20.0,0.0,722.0,1753.0,0.0,0.0,29.48,30.18,11.3,30.0,12.3
4,2012-02-04,69.0,50.0,60.0,7.0,41.0,49.0,5.0,0.0,720.0,1809.0,0.0,0.13,29.49,30.16,8.2,35.0,8.6
6,2012-02-04,70.0,50.0,60.0,10.0,46.0,51.0,5.0,0.0,719.0,1809.0,0.0,1.7,29.65,30.14,13.8,35.0,14.4
7,2012-02-04,43.0,37.0,40.0,10.0,34.0,38.0,25.0,0.0,719.0,1809.0,0.0,0.0,28.87,30.24,16.0,33.0,16.3
8,2012-02-04,72.0,52.0,40.0,10.0,47.0,52.0,25.0,0.0,719.0,1809.0,0.0,0.25,29.75,30.24,8.6,35.0,10.6
9,2012-02-04,36.0,23.0,30.0,10.0,26.0,27.0,35.0,0.0,719.0,1809.0,0.0,0.0,29.6,30.41,5.5,32.0,5.8
10,2012-02-04,76.0,61.0,69.0,10.0,59.0,62.0,0.0,4.0,716.0,1806.0,0.0,0.0,30.17,30.18,4.9,11.0,6.3
11,2012-02-04,77.0,54.0,66.0,12.0,57.0,60.0,0.0,1.0,716.0,1806.0,0.0,0.0,30.16,30.18,5.4,12.0,6.1
12,2012-02-04,76.0,54.0,65.0,12.0,57.0,60.0,0.0,0.0,716.0,1806.0,0.0,0.0,30.16,30.18,4.4,14.0,4.5
13,2012-02-04,30.0,11.0,21.0,12.0,18.0,21.0,44.0,0.0,716.0,1806.0,0.0,0.01,24.51,30.54,1.3,35.0,5.1
14,2012-02-04,44.0,38.0,41.0,1.0,33.0,38.0,24.0,0.0,728.0,1800.0,0.0,0.0,28.85,30.23,19.9,33.0,20.1
15,2012-02-04,36.0,20.0,28.0,7.0,14.0,24.0,37.0,0.0,658.0,1702.0,0.0,0.0,29.8,30.18,6.5,32.0,7.0
16,2012-02-04,41.0,24.0,33.0,7.0,17.0,28.0,32.0,0.0,658.0,1702.0,0.0,0.0,30.06,30.16,6.9,32.0,8.1
17,2012-02-04,53.0,39.0,46.0,7.0,36.0,41.0,19.0,0.0,658.0,1702.0,0.0,0.0,29.54,30.21,3.2,31.0,6.4
18,2012-02-04,56.0,44.0,50.0,1.0,39.0,45.0,15.0,0.0,720.0,1802.0,0.0,0.0,29.7,30.2,14.9,34.0,15.2
19,2012-02-04,40.0,29.0,35.0,12.0,27.0,33.0,30.0,0.0,703.0,1708.0,0.0,0.0,29.5,30.3,4.9,7.0,6.1
20,2012-02-04,56.0,43.0,50.0,12.0,39.0,44.0,15.0,0.0,703.0,1708.0,0.0,0.0,29.49,30.18,16.2,33.0,16.4
1,2012-02-05,36.0,17.0,27.0,12.0,8.0,22.0,38.0,0.0,703.0,1708.0,0.0,0.0,29.96,30.13,2.5,28.0,3.7
2,2012-02-05,33.0,17.0,25.0,1.0,7.0,20.0,40.0,0.0,657.0,1707.0,0.0,0.0,28.97,30.11,4.2,31.0,5.6
3,2012-02-05,50.0,33.0,42.0,3.0,30.0,37.0,23.0,0.0,721.0,1754.0,0.0,0.0,29.62,30.35,7.0,34.0,7.7
4,2012-02-05,50.0,41.0,46.0,-7.0,36.0,42.0,19.0,0.0,719.0,1810.0,0.0,0.09,29.62,30.32,7.9,36.0,8.0
6,2012-02-05,50.0,38.0,44.0,-7.0,38.0,43.0,21.0,0.0,719.0,1810.0,0.0,0.06,29.78,30.31,14.0,1.0,14.2
7,2012-02-05,49.0,34.0,42.0,-7.0,28.0,35.0,23.0,0.0,719.0,1810.0,0.0,0.0,28.97,30.38,12.6,36.0,12.8
8,2012-02-05,52.0,45.0,42.0,-7.0,38.0,43.0,23.0,0.0,719.0,1810.0,0.0,0.0,29.93,30.38,11.5,36.0,11.9
9,2012-02-05,30.0,24.0,27.0,-7.0,25.0,27.0,38.0,0.0,719.0,1810.0,0.0,0.0,29.53,30.35,4.8,26.0,6.2
10,2012-02-05,81.0,61.0,71.0,-7.0,61.0,65.0,0.0,6.0,715.0,1807.0,0.0,0.0,30.03,30.05,1.6,21.0,4.0
11,2012-02-05,81.0,55.0,68.0,14.0,58.0,62.0,0.0,3.0,715.0,1806.0,0.0,0.0,30.01,30.05,3.4,26.0,4.3
12,2012-02-05,80.0,56.0,68.0,14.0,62.0,64.0,0.0,3.0,715.0,1806.0,0.0,0.02,30.01,30.05,2.1,24.0,2.4
13,2012-02-05,35.0,5.0,20.0,14.0,11.0,16.0,45.0,0.0,715.0,1806.0,0.0,0.0,24.39,30.45,2.5,17.0,4.1
14,2012-02-05,50.0,35.0,43.0,3.0,27.0,35.0,22.0,0.0,727.0,1801.0,0.0,0.0,28.96,30.37,12.3,36.0,12.7
15,2012-02-05,35.0,10.0,23.0,2.0,9.0,19.0,42.0,0.0,657.0,1703.0,0.0,0.0,29.73,30.11,3.4,31.0,4.3
16,2012-02-05,35.0,16.0,26.0,2.0,9.0,21.0,39.0,0.0,657.0,1703.0,0.0,0.0,29.99,30.1,2.8,32.0,4.5
17,2012-02-05,50.0,29.0,40.0,2.0,29.0,36.0,25.0,0.0,657.0,1703.0,0.0,0.0,29.68,30.37,3.9,35.0,5.0
18,2012-02-05,47.0,36.0,42.0,-7.0,33.0,39.0,23.0,0.0,720.0,1803.0,0.0,0.0,29.82,30.35,9.0,35.0,9.6
19,2012-02-05,42.0,29.0,36.0,13.0,27.0,32.0,29.0,0.0,702.0,1709.0,0.0,0.0,29.49,30.28,3.1,33.0,5.8
20,2012-02-05,47.0,33.0,40.0,13.0,32.0,38.0,25.0,0.0,702.0,1709.0,0.0,0.0,29.61,30.33,9.9,35.0,10.1
1,2012-02-06,52.0,26.0,39.0,13.0,18.0,31.0,26.0,0.0,702.0,1709.0,0.0,0.0,29.78,29.92,9.0,23.0,9.5
2,2012-02-06,47.0,23.0,35.0,11.0,18.0,29.0,30.0,0.0,656.0,1708.0,0.0,0.0,28.84,29.94,14.4,26.0,14.6
3,2012-02-06,55.0,28.0,42.0,2.0,27.0,36.0,23.0,0.0,720.0,1755.0,0.0,0.0,29.52,30.28,0.3,16.0,2.1
4,2012-02-06,51.0,40.0,46.0,-7.0,35.0,41.0,19.0,0.0,719.0,1811.0,0.0,0.0,29.55,30.29,0.8,2.0,3.0
6,2012-02-06,51.0,37.0,44.0,-7.0,37.0,42.0,21.0,0.0,718.0,1811.0,0.0,0.0,29.72,30.28,4.8,2.0,5.6
7,2012-02-06,54.0,26.0,40.0,-7.0,25.0,34.0,25.0,0.0,718.0,1811.0,0.0,0.0,28.86,30.28,0.4,22.0,1.0
8,2012-02-06,54.0,41.0,40.0,-7.0,37.0,43.0,25.0,0.0,718.0,1811.0,0.0,0.0,29.91,30.28,3.5,36.0,4.0
9,2012-02-06,46.0,23.0,35.0,-7.0,26.0,31.0,30.0,0.0,718.0,1811.0,0.0,0.0,29.39,30.16,2.8,32.0,6.5
10,2012-02-06,71.0,59.0,65.0,-7.0,58.0,61.0,0.0,0.0,714.0,1808.0,0.0,0.0,30.06,30.09,9.2,3.0,9.7
11,2012-02-06,66.0,56.0,61.0,7.0,57.0,58.0,4.0,0.0,715.0,1807.0,0.0,0.0,30.06,30.1,7.3,4.0,7.4
12,2012-02-06,66.0,58.0,62.0,7.0,59.0,60.0,3.0,0.0,715.0,1807.0,0.0,0.0,30.04,30.1,7.0,2.0,7.6
13,2012-02-06,33.0,11.0,22.0,7.0,14.0,21.0,43.0,0.0,715.0,1807.0,0.0,0.0,24.3,30.27,3.8,33.0,6.2
14,2012-02-06,54.0,27.0,41.0,1.0,25.0,35.0,24.0,0.0,726.0,1802.0,0.0,0.0,28.85,30.28,0.7,3.0,3.1
15,2012-02-06,49.0,16.0,33.0,12.0,18.0,28.0,32.0,0.0,656.0,1705.0,0.0,0.0,29.52,29.89,5.0,24.0,5.9
16,2012-02-06,50.0,23.0,37.0,12.0,19.0,31.0,28.0,0.0,656.0,1705.0,0.0,0.0,29.81,29.9,10.0,24.0,10.2
17,2012-02-06,56.0,25.0,41.0,12.0,26.0,34.0,24.0,0.0,656.0,1705.0,0.0,0.0,29.59,30.3,0.1,8.0,0.3
18,2012-02-06,55.0,34.0,45.0,-4.0,33.0,40.0,20.0,0.0,719.0,1803.0,0.0,0.0,29.73,30.28,1.1,2.0,2.8
19,2012-02-06,42.0,28.0,35.0,12.0,26.0,30.0,30.0,0.0,701.0,1711.0,0.0,0.0,29.36,30.14,9.4,26.0,9.7
20,2012-02-06,54.0,32.0,43.0,12.0,34.0,39.0,22.0,0.0,701.0,1711.0,0.0,0.0,29.52,30.27,1.8,36.0,4.4
1,2012-02-07,45.0,27.0,36.0,12.0,20.0,31.0,29.0,0.0,701.0,1711.0,0.0,0.0,29.83,30.04,5.2,31.0,6.5
2,2012-02-07,42.0,27.0,35.0,10.0,21.0,30.0,30.0,0.0,654.0,1709.0,0.0,0.0,28.87,30.02,8.1,29.0,9.1
3,2012-02-07,52.0,35.0,44.0,4.0,34.0,39.0,21.0,0.0,719.0,1756.0,0.0,0.0,29.57,30.3,6.6,35.0,7.0
4,2012-02-07,67.0,43.0,55.0,1.0,40.0,47.0,10.0,0.0,718.0,1812.0,0.0,0.0,29.52,30.23,0.9,5.0,2.5
6,2012-02-07,64.0,37.0,51.0,0.0,42.0,47.0,14.0,0.0,717.0,1812.0,0.0,0.0,29.7,30.23,1.6,3.0,2.0
7,2012-02-07,52.0,34.0,43.0,0.0,32.0,38.0,22.0,0.0,717.0,1812.0,0.0,0.0,28.92,30.3,8.9,35.0,9.1
8,2012-02-07,63.0,46.0,43.0,0.0,43.0,48.0,22.0,0.0,717.0,1812.0,0.0,0.0,29.85,30.3,0.7,36.0,0.8
9,2012-02-07,32.0,16.0,24.0,0.0,14.0,22.0,41.0,0.0,717.0,1812.0,0.0,0.0,29.72,30.5,9.1,36.0,9.5
10,2012-02-07,67.0,58.0,63.0,0.0,53.0,56.0,2.0,0.0,713.0,1808.0,0.0,0.0,30.08,30.1,8.7,3.0,8.9
11,2012-02-07,70.0,49.0,60.0,6.0,51.0,55.0,5.0,0.0,714.0,1808.0,0.0,0.0,30.07,30.11,5.6,4.0,6.3
12,2012-02-07,64.0,53.0,59.0,6.0,53.0,56.0,6.0,0.0,714.0,1808.0,0.0,0.0,30.06,30.11,7.0,3.0,7.1
13,2012-02-07,24.0,12.0,18.0,6.0,15.0,18.0,47.0,0.0,714.0,1808.0,0.0,0.01,24.43,30.45,1.5,6.0,3.5
14,2012-02-07,54.0,35.0,45.0,5.0,31.0,38.0,20.0,0.0,725.0,1803.0,0.0,0.0,28.9,30.29,8.6,35.0,9.0
15,2012-02-07,42.0,20.0,31.0,10.0,20.0,28.0,34.0,0.0,655.0,1706.0,0.0,0.0,29.59,30.03,6.4,33.0,7.7
16,2012-02-07,45.0,27.0,36.0,10.0,21.0,31.0,29.0,0.0,655.0,1706.0,0.0,0.0,29.85,30.0,6.8,31.0,7.5
17,2012-02-07,54.0,32.0,43.0,10.0,33.0,39.0,22.0,0.0,655.0,1706.0,0.0,0.0,29.64,30.32,3.2,36.0,4.3
18,2012-02-07,60.0,45.0,53.0,4.0,40.0,46.0,12.0,0.0,718.0,1804.0,0.0,0.0,29.73,30.25,2.4,36.0,4.2
19,2012-02-07,36.0,24.0,30.0,7.0,22.0,27.0,35.0,0.0,660.0,1712.0,0.0,0.0,29.6,30.36,12.2,1.0,13.2
20,2012-02-07,59.0,44.0,52.0,7.0,39.0,45.0,13.0,0.0,660.0,1712.0,0.0,0.0,29.52,30.24,2.6,33.0,4.2
1,2012-02-08,38.0,17.0,28.0,7.0,7.0,23.0,37.0,0.0,660.0,1712.0,0.0,0.0,30.08,30.22,2.5,23.0,4.3
2,2012-02-08,34.0,16.0,25.0,0.0,8.0,22.0,40.0,0.0,653.0,1711.0,0.0,0.0,29.08,30.2,4.0,25.0,5.6
3,2012-02-08,41.0,34.0,38.0,-2.0,32.0,36.0,27.0,0.0,718.0,1757.0,0.0,0.0,29.68,30.43,4.4,34.0,4.5
4,2012-02-08,56.0,41.0,49.0,-5.0,38.0,43.0,16.0,0.0,717.0,1813.0,0.0,0.0,29.67,30.39,3.9,36.0,5.7
6,2012-02-08,57.0,40.0,49.0,-2.0,40.0,44.0,16.0,0.0,717.0,1813.0,0.0,0.0,29.84,30.38,9.2,1.0,9.8
7,2012-02-08,37.0,31.0,34.0,-2.0,28.0,32.0,31.0,0.0,717.0,1813.0,0.0,0.0,29.01,30.44,5.4,35.0,6.9
8,2012-02-08,55.0,45.0,34.0,-2.0,42.0,46.0,31.0,0.0,717.0,1813.0,0.0,0.0,30.0,30.44,5.5,36.0,5.7
9,2012-02-08,32.0,11.0,22.0,-2.0,2.0,18.0,43.0,0.0,717.0,1813.0,0.0,0.0,29.59,30.41,2.5,27.0,3.5
10,2012-02-08,73.0,53.0,63.0,-2.0,47.0,53.0,2.0,0.0,713.0,1809.0,0.0,0.0,30.08,30.11,6.2,36.0,7.1
11,2012-02-08,73.0,45.0,59.0,5.0,44.0,50.0,6.0,0.0,713.0,1809.0,0.0,0.0,30.08,30.12,3.5,34.0,4.7
12,2012-02-08,70.0,50.0,60.0,5.0,48.0,52.0,5.0,0.0,713.0,1809.0,0.0,0.0,30.06,30.11,2.8,1.0,4.0
13,2012-02-08,43.0,9.0,26.0,5.0,15.0,21.0,39.0,0.0,713.0,1809.0,0.0,0.0,24.29,30.28,0.6,24.0,3.9
14,2012-02-08,38.0,28.0,33.0,-7.0,27.0,32.0,32.0,0.0,724.0,1804.0,0.0,0.0,29.0,30.43,5.1,34.0,7.5
15,2012-02-08,37.0,10.0,24.0,2.0,7.0,20.0,41.0,0.0,653.0,1707.0,0.0,0.0,29.83,30.2,1.6,21.0,3.4
16,2012-02-08,37.0,15.0,26.0,2.0,6.0,22.0,39.0,0.0,653.0,1707.0,0.0,0.0,30.11,30.2,2.2,24.0,4.6
17,2012-02-08,43.0,37.0,40.0,2.0,31.0,36.0,25.0,0.0,653.0,1707.0,0.0,0.0,29.75,30.45,2.2,35.0,2.4
18,2012-02-08,47.0,41.0,44.0,-5.0,35.0,40.0,21.0,0.0,717.0,1805.0,0.0,0.0,29.88,30.41,6.7,35.0,7.3
19,2012-02-08,34.0,20.0,27.0,3.0,11.0,22.0,38.0,0.0,659.0,1713.0,0.0,0.0,29.55,30.34,7.8,29.0,8.3
20,2012-02-08,46.0,38.0,42.0,3.0,35.0,39.0,23.0,0.0,659.0,1713.0,0.0,0.0,29.67,30.4,5.6,35.0,7.4
1,2012-02-09,48.0,27.0,38.0,3.0,12.0,29.0,27.0,0.0,659.0,1713.0,0.0,0.0,29.85,30.03,4.4,27.0,5.4
2,2012-02-09,43.0,27.0,35.0,10.0,11.0,26.0,30.0,0.0,652.0,1712.0,0.0,0.0,28.9,30.03,10.4,28.0,11.0
3,2012-02-09,48.0,37.0,43.0,3.0,33.0,38.0,22.0,0.0,717.0,1758.0,0.0,0.12,29.49,30.26,1.8,16.0,2.8
4,2012-02-09,58.0,37.0,48.0,-6.0,39.0,44.0,17.0,0.0,716.0,1814.0,0.0,0.0,29.52,30.25,1.2,12.0,3.5
6,2012-02-09,58.0,34.0,46.0,-5.0,40.0,44.0,19.0,0.0,716.0,1813.0,0.0,0.0,29.68,30.25,1.7,11.0,5.5
7,2012-02-09,42.0,31.0,37.0,-5.0,32.0,35.0,28.0,0.0,716.0,1813.0,0.0,0.1,28.81,30.24,5.0,15.0,7.1
8,2012-02-09,55.0,39.0,37.0,-5.0,41.0,45.0,28.0,0.0,716.0,1813.0,0.0,0.0,29.88,30.24,1.3,9.0,3.2
9,2012-02-09,38.0,17.0,28.0,-5.0,16.0,24.0,37.0,0.0,716.0,1813.0,0.0,0.0,29.26,30.08,4.9,24.0,7.3
10,2012-02-09,68.0,50.0,59.0,-5.0,44.0,51.0,6.0,0.0,712.0,1810.0,0.0,0.0,30.14,30.17,9.9,1.0,10.8
11,2012-02-09,68.0,42.0,55.0,1.0,42.0,48.0,10.0,0.0,712.0,1810.0,0.0,0.0,30.14,30.18,5.1,2.0,6.2
12,2012-02-09,68.0,47.0,58.0,1.0,46.0,51.0,7.0,0.0,712.0,1810.0,0.0,0.0,30.12,30.18,5.7,2.0,6.9
13,2012-02-09,41.0,20.0,31.0,1.0,18.0,26.0,34.0,0.0,712.0,1810.0,0.0,0.0,24.29,30.21,2.6,15.0,5.6
14,2012-02-09,42.0,27.0,35.0,-6.0,31.0,34.0,30.0,0.0,723.0,1805.0,0.0,0.25,28.79,30.24,4.6,14.0,6.9
15,2012-02-09,44.0,20.0,32.0,10.0,14.0,26.0,33.0,0.0,652.0,1709.0,0.0,0.0,29.62,30.01,3.4,29.0,3.9
16,2012-02-09,47.0,27.0,37.0,10.0,11.0,29.0,28.0,0.0,652.0,1709.0,0.0,0.0,29.88,30.0,5.2,29.0,6.0
17,2012-02-09,50.0,37.0,44.0,10.0,33.0,39.0,21.0,0.0,652.0,1709.0,0.0,0.16,29.54,30.27,1.6,16.0,2.5
18,2012-02-09,56.0,34.0,45.0,-5.0,37.0,42.0,20.0,0.0,716.0,1806.0,0.0,0.02,29.68,30.24,5.2,15.0,5.9
19,2012-02-09,37.0,20.0,29.0,5.0,14.0,24.0,36.0,0.0,657.0,1715.0,0.0,0.0,29.36,30.17,11.2,24.0,11.4
20,2012-02-09,56.0,31.0,44.0,5.0,37.0,41.0,21.0,0.0,657.0,1715.0,0.0,0.0,29.47,30.23,4.1,15.0,4.6
1,2012-02-10,51.0,25.0,38.0,5.0,17.0,32.0,27.0,0.0,657.0,1715.0,0.0,0.0,29.86,30.01,6.0,21.0,6.5
2,2012-02-10,46.0,28.0,37.0,12.0,17.0,30.0,28.0,0.0,651.0,1713.0,0.0,0.0,28.9,30.0,8.5,23.0,9.2
3,2012-02-10,41.0,23.0,32.0,-9.0,25.0,32.0,33.0,0.0,716.0,1759.0,0.0,0.0,29.53,30.24,12.0,33.0,12.7
4,2012-02-10,65.0,48.0,57.0,3.0,40.0,47.0,8.0,0.0,716.0,1814.0,0.0,0.15,29.49,30.18,4.0,34.0,5.2
6,2012-02-10,65.0,41.0,53.0,2.0,43.0,48.0,12.0,0.0,715.0,1814.0,0.0,0.1,29.68,30.22,5.3,36.0,7.1
